protein1,protein2,tm_score,sequence_divergence,patristic_distance
B4KE22_Drosophila_mojavensisREF_part1_of1,P005064008787_Drosophila_albomicans_part1_of2,0.91747,0.7886178861788617,2.754566024
B4KE22_Drosophila_mojavensisREF_part1_of1,P005064008787_Drosophila_albomicans_part2_of2,0.85522,0.8,2.9585649370000002
B4KE22_Drosophila_mojavensisREF_part1_of1,P005064013138_Drosophila_albomicans_part1_of1,0.84949,0.7551020408163265,2.44932741
B4KE22_Drosophila_mojavensisREF_part1_of1,P005065001328_Drosophila_ananassae_part1_of2,0.86934,0.7692307692307692,3.2172532179999997
B4KE22_Drosophila_mojavensisREF_part1_of1,P005065001328_Drosophila_ananassae_part2_of2,0.86445,0.7782258064516129,2.853753025
B4KE22_Drosophila_mojavensisREF_part1_of1,P005065003751_Drosophila_ananassae_part1_of1,0.87467,0.7520325203252033,2.411363506
B4KE22_Drosophila_mojavensisREF_part1_of1,P005066011807_Drosophila_arizonae_part1_of2,0.85451,0.7591836734693878,2.520002235
B4KE22_Drosophila_mojavensisREF_part1_of1,P005066011807_Drosophila_arizonae_part2_of2,0.81716,0.7956521739130434,2.745356212
B4KE22_Drosophila_mojavensisREF_part1_of1,P005067004171_Drosophila_biarmipes_part1_of1,0.85445,0.7357723577235773,2.435479451
B4KE22_Drosophila_mojavensisREF_part1_of1,P005067004172_Drosophila_biarmipes_part1_of1,0.87933,0.7773279352226721,3.316978142
B4KE22_Drosophila_mojavensisREF_part1_of1,P005068011778_Drosophila_bipectinata_part1_of2,0.83213,0.7398373983739837,2.404020656
B4KE22_Drosophila_mojavensisREF_part1_of1,P005068011778_Drosophila_bipectinata_part2_of2,0.85489,0.7611336032388664,3.251982132
B4KE22_Drosophila_mojavensisREF_part1_of1,P005070006661_Drosophila_bunnanda_part1_of1,0.84625,0.7911111111111111,3.4046579169999998
B4KE22_Drosophila_mojavensisREF_part1_of1,P005070006662_Drosophila_bunnanda_part1_of1,0.86378,0.7439024390243902,2.3442589959999998
B4KE22_Drosophila_mojavensisREF_part1_of1,P005071004180_Drosophila_busckii_part1_of1,0.81993,0.7288888888888889,2.4071357730000003
B4KE22_Drosophila_mojavensisREF_part1_of1,P005071007432_Drosophila_busckii_part1_of1,0.84729,0.768888888888889,2.83696953
B4KE22_Drosophila_mojavensisREF_part1_of1,P005072008715_Drosophila_elegans_part1_of1,0.85952,0.7479674796747968,2.414731956
B4KE22_Drosophila_mojavensisREF_part1_of1,P005072008716_Drosophila_elegans_part1_of1,0.87944,0.7732793522267206,3.250936131
B4KE22_Drosophila_mojavensisREF_part1_of1,P005073012561_Drosophila_erecta_part1_of1,0.86015,0.7854251012145749,3.269024961
B4KE22_Drosophila_mojavensisREF_part1_of1,P005074010565_Drosophila_eugracilis_part1_of1,0.89449,0.7692307692307692,3.289305699
B4KE22_Drosophila_mojavensisREF_part1_of1,P005074010571_Drosophila_eugracilis_part1_of1,0.86485,0.7439024390243902,2.388703004
B4KE22_Drosophila_mojavensisREF_part1_of1,P005075007245_Drosophila_ficusphila_part1_of1,0.82713,0.7439024390243902,2.440678087
B4KE22_Drosophila_mojavensisREF_part1_of1,P005076010725_Drosophila_grimshawi_part1_of1,0.76458,0.7974683544303798,3.0755169249999996
B4KE22_Drosophila_mojavensisREF_part1_of1,P005076010744_Drosophila_grimshawi_part1_of1,0.84437,0.7459016393442623,2.519574924
B4KE22_Drosophila_mojavensisREF_part1_of1,P005076010745_Drosophila_grimshawi_part1_of1,0.8878,0.8081632653061225,2.8674198979999996
B4KE22_Drosophila_mojavensisREF_part1_of1,P005077009626_Drosophila_guanche_part1_of1,0.88463,0.7894736842105263,3.17714789
B4KE22_Drosophila_mojavensisREF_part1_of1,P005077011090_Drosophila_guanche_part1_of1,0.84114,0.7894736842105263,3.17714789
B4KE22_Drosophila_mojavensisREF_part1_of1,P005077011621_Drosophila_guanche_part1_of1,0.83056,0.7398373983739837,2.324636334
B4KE22_Drosophila_mojavensisREF_part1_of1,P005078005510_Drosophila_hydei_part1_of1,0.88144,0.7935222672064777,2.824096697
B4KE22_Drosophila_mojavensisREF_part1_of1,P005078006118_Drosophila_hydei_part1_of1,0.82902,0.7428571428571429,2.489706824
B4KE22_Drosophila_mojavensisREF_part1_of1,P005079010340_Drosophila_innubila_part1_of1,0.84549,0.763265306122449,3.0421409649999998
B4KE22_Drosophila_mojavensisREF_part1_of1,P005079011844_Drosophila_innubila_part1_of2,0.86768,0.7551020408163265,2.446229216
B4KE22_Drosophila_mojavensisREF_part1_of1,P005079011844_Drosophila_innubila_part2_of2,0.84922,0.775330396475771,2.7444362179999997
