protein1,protein2,tm_score,sequence_divergence,patristic_distance,protein1_cluster,protein2_cluster,cluster_key
B4KE22_Drosophila_mojavensisREF_part1_of1,P005064008787_Drosophila_albomicans_part1_of2,0.91747,0.7886178861788617,2.754566024,Cluster_4,Cluster_1,Cluster_1_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005064008787_Drosophila_albomicans_part2_of2,0.85522,0.8,2.958564937,Cluster_4,Cluster_1,Cluster_1_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005064013138_Drosophila_albomicans_part1_of1,0.84949,0.7551020408163265,2.44932741,Cluster_4,Cluster_2,Cluster_2_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005065001328_Drosophila_ananassae_part1_of2,0.86934,0.7692307692307692,3.217253218,Cluster_4,Cluster_1,Cluster_1_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005065001328_Drosophila_ananassae_part2_of2,0.86445,0.7782258064516129,2.853753025,Cluster_4,Cluster_3,Cluster_3_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005065003751_Drosophila_ananassae_part1_of1,0.87467,0.7520325203252033,2.411363506,Cluster_4,Cluster_2,Cluster_2_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005066011807_Drosophila_arizonae_part1_of2,0.85451,0.7591836734693878,2.520002235,Cluster_4,Cluster_2,Cluster_2_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005066011807_Drosophila_arizonae_part2_of2,0.81716,0.7956521739130434,2.745356212,Cluster_4,Cluster_1,Cluster_1_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005067004171_Drosophila_biarmipes_part1_of1,0.85445,0.7357723577235773,2.435479451,Cluster_4,Cluster_2,Cluster_2_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005067004172_Drosophila_biarmipes_part1_of1,0.87933,0.7773279352226721,3.316978142,Cluster_4,Cluster_1,Cluster_1_Cluster_4
B4KE22_Drosophila_mojavensisREF_part1_of1,P005068011778_Drosophila_bipectinata_part1_of2,0.83213,0.7398373983739837,2.404020656,Cluster_4,Cluster_2,Cluster_2_Cluster_4
